date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:19	319/319	---M-Z	200	added ('OK')	text/plain	etag:%2234e-63a60b11cf3c0-gzip%22	https://osint42.org/robots.txt		(from )
12:30:19	163334/163334	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:19%20GMT	https://osint42.org/	C:/osint42_archive/osint42_archive/osint42.org/index.html	(from )
12:30:19	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223c2e-635301584f000%22	https://osint42.org/favicon.ico	C:/osint42_archive/osint42_archive/osint42.org/favicon.ico	(from https://osint42.org/)
12:30:20	900/900	---MCZ	200	added ('OK')	application/manifest+json	date:Sat,%2027%20Sep%202025%2009:30:20%20GMT	https://osint42.org/webmanifest.php	C:/osint42_archive/osint42_archive/osint42.org/webmanifest.php	(from https://osint42.org/)
12:30:20	108656/108656	---M--	200	added ('OK')	image/png	etag:%22682e2f4e-1a870%22	https://osint42.org/data/assets/logo/192192.png	C:/osint42_archive/osint42_archive/osint42.org/data/assets/logo/192192.png	(from https://osint42.org/)
12:30:20	370855/370855	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Sep%202025%2018:18:40%20GMT	https://osint42.org/css.php?css=public%3Anormalize.css%2Cpublic%3Afa.css%2Cpublic%3Avariations.less%2Cpublic%3Acore.less%2Cpublic%3Aapp.less&s=1&l=2&d=1758392320&k=650febe17d52673553ff8fcab924bc52ae7c26c5	C:/osint42_archive/osint42_archive/osint42.org/cssf1bd.css	(from https://osint42.org/)
12:30:20	163851/163851	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:20%20GMT	https://osint42.org/?page=2	C:/osint42_archive/osint42_archive/osint42.org/index4658.html	(from https://osint42.org/)
12:30:20	137017/137017	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Sep%202025%2018:18:40%20GMT	https://osint42.org/css.php?css=public%3Aalnb_navigation.less%2Cpublic%3Acarousel.less%2Cpublic%3Anotices.less%2Cpublic%3Astructured_list.less%2Cpublic%3Axa_ams.less%2Cpublic%3Axa_ams_featured_grid.less%2Cpublic%3Aextra.less&s=1&l=2&d=1758392320&k=a35d4ee426522c8e766d72b78278afced2b68cf5	C:/osint42_archive/osint42_archive/osint42.org/css1b6d.css	(from https://osint42.org/)
12:30:21	3936/3936	---MCZ	200	added ('OK')	application/javascript	etag:%226818e05c-f60%22	https://osint42.org/js/xf/preamble.min.js?_v=01eb82fa	C:/osint42_archive/osint42_archive/osint42.org/js/xf/preamble.minf74f.js	(from https://osint42.org/)
12:30:21	14681/14681	---MCZ	200	added ('OK')	application/javascript	etag:%226818e05c-3959%22	https://osint42.org/js/vendor/vendor-compiled.js?_v=01eb82fa	C:/osint42_archive/osint42_archive/osint42.org/js/vendor/vendor-compiledf74f.js	(from https://osint42.org/)
12:30:21	176715/176715	---MCZ	200	added ('OK')	application/javascript	etag:W/%226877740b-2b24b%22	https://osint42.org/js/xf/core-compiled.js?_v=01eb82fa	C:/osint42_archive/osint42_archive/osint42.org/js/xf/core-compiledf74f.js	(from https://osint42.org/)
12:30:21	41370/41370	---MCZ	200	added ('OK')	application/javascript	etag:%226818bfff-a19a%22	https://osint42.org/js/DCom/LiveContent/4.4.1/socket.io.min.js?_v=01eb82fa	C:/osint42_archive/osint42_archive/osint42.org/js/DCom/LiveContent/4.4.1/socket.io.minf74f.js	(from https://osint42.org/)
12:30:21	26795/26795	---MCZ	200	added ('OK')	application/javascript	etag:%226818bfff-68ab%22	https://osint42.org/js/DCom/LiveContent/socket-conv.min.js?_v=01eb82fa	C:/osint42_archive/osint42_archive/osint42.org/js/DCom/LiveContent/socket-conv.minf74f.js	(from https://osint42.org/)
12:30:22	2140/2140	---M--	200	added ('OK')	image/png	etag:%22681af9db-85c%22	https://osint42.org/data/assets/logo/favicon.png	C:/osint42_archive/osint42_archive/osint42.org/data/assets/logo/favicon.png	(from https://osint42.org/)
12:30:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Sep%202025%2009:30:22%20GMT	https://osint42.org/forums	C:/osint42_archive/osint42_archive/osint42.org/forums	(from https://osint42.org/)
12:30:22	430863/430863	---M--	200	added ('OK')	image/png	etag:%22682e2f0f-6930f%22	https://osint42.org/data/assets/logo_alternate/osint4242.png	C:/osint42_archive/osint42_archive/osint42.org/data/assets/logo_alternate/osint4242.png	(from https://osint42.org/)
12:30:22	114101/114101	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:22%20GMT	https://osint42.org/forums/	C:/osint42_archive/osint42_archive/osint42.org/forums/index.html	(from https://osint42.org/)
12:30:23	38252/38252	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:23%20GMT	https://osint42.org/whats-new/ams-comments/	C:/osint42_archive/osint42_archive/osint42.org/whats-new/ams-comments/index.html	(from https://osint42.org/)
12:30:23	133949/133949	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268bfd2c5-20b3d%22	https://osint42.org/data/local/icons/regular.svg?v=1757401797	C:/osint42_archive/osint42_archive/osint42.org/data/local/icons/regulare419.svg	(from https://osint42.org/)
12:30:23	0/0	---MC-	303	error ('See%20Other')	text/html	date:Sat,%2027%20Sep%202025%2009:30:23%20GMT	https://osint42.org/whats-new/ams-articles/	C:/osint42_archive/osint42_archive/osint42.org/whats-new/ams-articles/index.html	(from https://osint42.org/)
12:30:23	42234/42234	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:23%20GMT	https://osint42.org/articles/authors/	C:/osint42_archive/osint42_archive/osint42.org/articles/authors/index.html	(from https://osint42.org/)
12:30:23	1606813/1606813	---M--	200	added ('OK')	video/mp4	etag:%2218849d-639067cf0b240%22	https://osint42.org/styles/default/xenforo/add_to_home_new.mp4	C:/osint42_archive/osint42_archive/osint42.org/styles/default/xenforo/add_to_home_new.mp4	(from https://osint42.org/)
12:30:23	573015/573015	---M--	200	added ('OK')	image/png	etag:%22681b896e-8be57%22	https://osint42.org/data/assets/notice_images/c7eb1746-6291-4d37-b72b-8e3b5cfd1303.png	C:/osint42_archive/osint42_archive/osint42.org/data/assets/notice_images/c7eb1746-6291-4d37-b72b-8e3b5cfd1303.png	(from https://osint42.org/)
12:30:23	151/151	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202025%2009:30:23%20GMT	https://osint42.org/cdn-cgi/l/email-protection	C:/osint42_archive/osint42_archive/osint42.org/cdn-cgi/l/email-protection	(from https://osint42.org/)
12:30:24	37348/37348	---M--	200	added ('OK')	image/jpeg	etag:%2268357dec-91e4%22	https://osint42.org/data/attachments/0/461-fe6cde66a76ccea3bc62562247a1c9c2.jpg?hash=EZvMhSt-Dp	C:/osint42_archive/osint42_archive/osint42.org/data/attachments/0/461-fe6cde66a76ccea3bc62562247a1c9c2b9cc.jpg	(from https://osint42.org/)
12:30:24	38110/38110	---M--	200	added ('OK')	image/jpeg	etag:%226825f906-94de%22	https://osint42.org/data/attachments/0/411-656ddecbcf6aa9d456463f248f8c1533.jpg?hash=NZzQXY5VkA	C:/osint42_archive/osint42_archive/osint42.org/data/attachments/0/411-656ddecbcf6aa9d456463f248f8c15333b65.jpg	(from https://osint42.org/)
12:30:24	0/0	---MC-	303	error ('See%20Other')	text/html	date:Sat,%2027%20Sep%202025%2009:30:24%20GMT	https://osint42.org/whats-new/posts/	C:/osint42_archive/osint42_archive/osint42.org/whats-new/posts/index.html	(from https://osint42.org/)
12:30:24	63885/63885	---M--	200	added ('OK')	image/jpeg	etag:%22687e0228-f98d%22	https://osint42.org/data/attachments/0/758-c61fe6e3967f6db92b1bf6996cca17c4.jpg?hash=tJD7-i63NP	C:/osint42_archive/osint42_archive/osint42.org/data/attachments/0/758-c61fe6e3967f6db92b1bf6996cca17c46b09.jpg	(from https://osint42.org/)
12:30:24	11876/11876	---M--	200	added ('OK')	image/jpeg	etag:%2268a6413d-2e64%22	https://osint42.org/data/attachments/0/851-9bed42aaf2f4d0e1bd586f317ffeb4ad.jpg?hash=qQSUC03eaH	C:/osint42_archive/osint42_archive/osint42.org/data/attachments/0/851-9bed42aaf2f4d0e1bd586f317ffeb4ad1421.jpg	(from https://osint42.org/)
12:30:24	35703/35703	---M--	200	added ('OK')	image/jpeg	etag:%226843232d-8b77%22	https://osint42.org/data/attachments/0/529-a6a456599b57fedaf5f999393aee49d9.jpg?hash=QnEj_Ds1BT	C:/osint42_archive/osint42_archive/osint42.org/data/attachments/0/529-a6a456599b57fedaf5f999393aee49d96ad3.jpg	(from https://osint42.org/)
12:30:25	5945/5945	---M--	200	added ('OK')	image/jpeg	etag:%2268a961b6-1739%22	https://osint42.org/data/avatars/s/0/256.jpg?1755931062	C:/osint42_archive/osint42_archive/osint42.org/data/avatars/s/0/2567bb3.jpg	(from https://osint42.org/)
12:30:25	47023/47023	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:25%20GMT	https://osint42.org/search/?type=post	C:/osint42_archive/osint42_archive/osint42.org/search/index4009.html	(from https://osint42.org/)
12:30:25	203462/203462	---M--	200	added ('OK')	image/png	etag:%221746704465%22	https://osint42.org/articles/freimvork-dlya-testirovaniya-antivirusov.7/cover-image	C:/osint42_archive/osint42_archive/osint42.org/articles/freimvork-dlya-testirovaniya-antivirusov.7/1746704465045.png	(from https://osint42.org/)
12:30:25	137744/137744	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:25%20GMT	https://osint42.org/whats-new/	C:/osint42_archive/osint42_archive/osint42.org/whats-new/index.html	(from https://osint42.org/)
12:30:25	378916/378916	---M--	200	added ('OK')	image/png	etag:%221753469024%22	https://osint42.org/articles/anonimnyi-messendzher.58/cover-image	C:/osint42_archive/osint42_archive/osint42.org/articles/anonimnyi-messendzher.58/1753469023601.png	(from https://osint42.org/)
12:30:26	422514/422514	---M--	200	added ('OK')	image/png	etag:%221757956276%22	https://osint42.org/articles/o-tom-kak-boryut-sya-s-tor-v-rf.75/cover-image	C:/osint42_archive/osint42_archive/osint42.org/articles/o-tom-kak-boryut-sya-s-tor-v-rf.75/1757956272193.png	(from https://osint42.org/)
12:30:26	38919/38919	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:26%20GMT	https://osint42.org/whats-new/media/	C:/osint42_archive/osint42_archive/osint42.org/whats-new/media/index.html	(from https://osint42.org/)
12:30:26	68437/68437	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:26%20GMT	https://osint42.org/articles/featured	C:/osint42_archive/osint42_archive/osint42.org/articles/featured.html	(from https://osint42.org/)
12:30:26	79495/79495	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:26%20GMT	https://osint42.org/media/	C:/osint42_archive/osint42_archive/osint42.org/media/index.html	(from https://osint42.org/)
12:30:26	4137/4137	---M--	200	added ('OK')	image/jpeg	etag:%22681b8815-1029%22	https://osint42.org/data/avatars/s/0/1.jpg?1746634773	C:/osint42_archive/osint42_archive/osint42.org/data/avatars/s/0/1b812.jpg	(from https://osint42.org/)
12:30:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Sep%202025%2009:30:26%20GMT	https://osint42.org/threads/arkhiv-foruma.200/post-510	C:/osint42_archive/osint42_archive/osint42.org/threads/arkhiv-foruma.200/post-510	(from https://osint42.org/)
12:30:27	0/0	---MC-	303	error ('See%20Other')	text/html	date:Sat,%2027%20Sep%202025%2009:30:27%20GMT	https://osint42.org/whats-new/media-comments/	C:/osint42_archive/osint42_archive/osint42.org/whats-new/media-comments/index.html	(from https://osint42.org/)
12:30:27	64380/64380	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:27%20GMT	https://osint42.org/threads/arkhiv-foruma.200/#post-510	C:/osint42_archive/osint42_archive/osint42.org/threads/arkhiv-foruma.200/#post-510.html	(from https://osint42.org/)
12:30:27	43754/43754	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:27%20GMT	https://osint42.org/search/?type=xfmg_media	C:/osint42_archive/osint42_archive/osint42.org/search/index4784.html	(from https://osint42.org/)
12:30:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Sep%202025%2009:30:27%20GMT	https://osint42.org/threads/oni-chitayut-vashi-pis-ma-gmail-pod-ugrozoi-chatgpt-mog-taino-slivat-vashi-pis-ma.199/post-509	C:/osint42_archive/osint42_archive/osint42.org/threads/oni-chitayut-vashi-pis-ma-gmail-pod-ugrozoi-chatgpt-mog-taino-slivat-vashi-pis-ma.199/post-509	(from https://osint42.org/)
12:30:27	43373/43373	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:27%20GMT	https://osint42.org/login/	C:/osint42_archive/osint42_archive/osint42.org/login/index.html	(from https://osint42.org/)
12:30:28	48179/48179	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202025%2009:30:28%20GMT	https://osint42.org/register/	C:/osint42_archive/osint42_archive/osint42.org/register/index.html	(from https://osint42.org/)
